2023-06-26 14:17:25.205 [ForkJoinPool.commonPool-worker-12] INFO  org.dromara.cloudeon.processor.InstallTask - command task：64 开始, 记录到数据库
2023-06-26 14:17:25.588 [ForkJoinPool.commonPool-worker-12] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node2 上创建目录：/opt/edp/zookeeper2/conf
2023-06-26 14:17:25.659 [ForkJoinPool.commonPool-worker-12] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/zookeeper2/conf
2023-06-26 14:17:25.724 [ForkJoinPool.commonPool-worker-12] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node2 上创建目录：/opt/edp/zookeeper2/conf
2023-06-26 14:17:25.725 [ForkJoinPool.commonPool-worker-12] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node2 上创建目录：/opt/edp/zookeeper2/log
2023-06-26 14:17:25.751 [ForkJoinPool.commonPool-worker-12] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/zookeeper2/log
2023-06-26 14:17:25.830 [ForkJoinPool.commonPool-worker-12] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node2 上创建目录：/opt/edp/zookeeper2/log
2023-06-26 14:17:25.830 [ForkJoinPool.commonPool-worker-12] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node2 上创建目录：/opt/edp/zookeeper2/data
2023-06-26 14:17:25.853 [ForkJoinPool.commonPool-worker-12] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/zookeeper2/data
2023-06-26 14:17:25.944 [ForkJoinPool.commonPool-worker-12] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node2 上创建目录：/opt/edp/zookeeper2/data
2023-06-26 14:17:25.944 [ForkJoinPool.commonPool-worker-12] INFO  org.dromara.cloudeon.processor.InstallTask - command task：64 结束, 记录到数据库
2023-06-26 14:17:25.948 [ForkJoinPool.commonPool-worker-12] INFO  org.dromara.cloudeon.processor.InstallTask - close sifting Appender of `6-64`
