2023-06-25 22:32:46.812 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.TagHostLabelTask - command task：11 开始, 记录到数据库
2023-06-25 22:32:46.816 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.TagHostLabelTask - 给k8s节点 k8s-worker-node2 打上label :zookeeper-server-zookeeper1
2023-06-25 22:32:46.890 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.TagHostLabelTask - command task：11 结束, 记录到数据库
2023-06-25 22:32:46.895 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.TagHostLabelTask - close sifting Appender of `1-11`
2023-06-26 13:38:07.803 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - command task：11 开始, 记录到数据库
2023-06-26 13:38:07.819 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 加载配置文件模板目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/monitor/render
2023-06-26 13:38:07.825 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - Scanning directory: /Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/monitor/render
2023-06-26 13:38:07.826 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: prometheus.yml.ftl
2023-06-26 13:38:07.829 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/monitor1/k8s-worker-node1/conf/prometheus.yml
2023-06-26 13:38:07.830 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: grafana-bootstrap.sh.ftl
2023-06-26 13:38:07.830 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/monitor1/k8s-worker-node1/conf/grafana-bootstrap.sh
