2023-06-25 22:32:46.464 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - command task：9 开始, 记录到数据库
2023-06-25 22:32:46.470 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 加载配置文件模板目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/zookeeper/render
2023-06-25 22:32:46.474 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - Scanning directory: /Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/zookeeper/render
2023-06-25 22:32:46.475 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: zoo.cfg.ftl
2023-06-25 22:32:46.478 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/zookeeper1/k8s-worker-node3/conf/zoo.cfg
2023-06-25 22:32:46.478 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: jmx_zookeeper.yaml
2023-06-25 22:32:46.478 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/zookeeper1/k8s-worker-node3/conf/jmx_zookeeper.yaml
2023-06-25 22:32:46.479 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: myid.ftl
2023-06-25 22:32:46.480 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/zookeeper1/k8s-worker-node3/conf/myid
2023-06-25 22:32:46.481 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: zookeeper-env.sh.ftl
2023-06-25 22:32:46.482 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/zookeeper1/k8s-worker-node3/conf/zookeeper-env.sh
2023-06-25 22:32:46.482 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: log4j.properties
2023-06-25 22:32:46.483 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/zookeeper1/k8s-worker-node3/conf/log4j.properties
2023-06-25 22:32:46.486 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 拷贝本地配置目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/zookeeper1/k8s-worker-node3/conf 到节点k8s-worker-node3的：/opt/edp/zookeeper1/conf/
2023-06-25 22:32:46.541 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 成功拷贝本地配置目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/zookeeper1/k8s-worker-node3/conf 到节点k8s-worker-node3的：/opt/edp/zookeeper1/conf/
2023-06-25 22:32:46.541 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 赋予conf目录下sh脚本执行权限：chmod +x /opt/edp/zookeeper1/conf//*.sh
2023-06-25 22:32:46.564 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 移动myid文件到data目录 /opt/edp/zookeeper1/data
2023-06-25 22:32:46.564 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - ssh执行命令： mv /opt/edp/zookeeper1/conf//myid /opt/edp/zookeeper1/data
2023-06-25 22:32:46.631 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - command task：9 结束, 记录到数据库
2023-06-25 22:32:46.636 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - close sifting Appender of `1-9`
2023-06-26 13:38:04.719 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - command task：9 开始, 记录到数据库
2023-06-26 13:38:04.741 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 加载配置文件模板目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/monitor/render
2023-06-26 13:38:04.760 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - Scanning directory: /Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/monitor/render
2023-06-26 13:38:04.761 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: prometheus.yml.ftl
2023-06-26 13:38:04.845 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/monitor1/k8s-worker-node1/conf/prometheus.yml
2023-06-26 13:38:04.846 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: grafana-bootstrap.sh.ftl
2023-06-26 13:38:04.847 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/monitor1/k8s-worker-node1/conf/grafana-bootstrap.sh
2023-06-26 13:38:04.848 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: nodeexporter-bootstrap.sh.ftl
2023-06-26 13:38:04.850 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/monitor1/k8s-worker-node1/conf/nodeexporter-bootstrap.sh
2023-06-26 13:38:04.851 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: grafana.ini.ftl
2023-06-26 13:38:04.873 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/monitor1/k8s-worker-node1/conf/grafana.ini
2023-06-26 13:38:04.873 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - Scanning directory: /Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/monitor/render/provisioning
2023-06-26 13:38:04.873 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - Scanning directory: /Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/monitor/render/provisioning/datasources
2023-06-26 13:38:04.874 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: provisioning/datasources/prometheus-ds.yaml.ftl
2023-06-26 13:38:04.876 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/monitor1/k8s-worker-node1/conf/provisioning/datasources/prometheus-ds.yaml
2023-06-26 13:38:04.877 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - Scanning directory: /Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/monitor/render/provisioning/dashboards
2023-06-26 13:38:04.877 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: provisioning/dashboards/grafana.yaml.ftl
2023-06-26 13:38:04.879 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/monitor1/k8s-worker-node1/conf/provisioning/dashboards/grafana.yaml
