2023-06-25 23:06:43.984 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - command task：71 开始, 记录到数据库
2023-06-25 23:06:43.988 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/conf
2023-06-25 23:06:43.991 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/conf
2023-06-25 23:06:44.017 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/conf
2023-06-25 23:06:44.017 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/log
2023-06-25 23:06:44.020 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/log
2023-06-25 23:06:44.052 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/log
2023-06-25 23:06:44.052 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/data
2023-06-25 23:06:44.055 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/data
2023-06-25 23:06:44.125 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/data
2023-06-25 23:06:44.125 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - command task：71 结束, 记录到数据库
2023-06-25 23:06:44.129 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - close sifting Appender of `4-71`
