2023-06-26 14:18:07.493 [ForkJoinPool.commonPool-worker-12] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - command task：74 开始, 记录到数据库
2023-06-26 14:18:07.500 [ForkJoinPool.commonPool-worker-12] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 目录/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/prometheus-resource/zookeeper2不存在，创建目录...
2023-06-26 14:18:07.501 [ForkJoinPool.commonPool-worker-12] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 开始生成prometheus采集的配置文件....
2023-06-26 14:18:07.514 [ForkJoinPool.commonPool-worker-12] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 加载prometheus模板目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/zookeeper/prometheus
2023-06-26 14:18:07.516 [ForkJoinPool.commonPool-worker-12] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 完成prometheus配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/prometheus-resource/zookeeper2/zkserver.json
2023-06-26 14:18:07.517 [ForkJoinPool.commonPool-worker-12] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 上传prometheus采集的配置文件到prometheus配置目录....
2023-06-26 14:18:07.519 [ForkJoinPool.commonPool-worker-12] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 拷贝本地配置目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/prometheus-resource/zookeeper2 到节点k8s-worker-node1的：/opt/edp/monitor1/conf/discovery_configs/
2023-06-26 14:18:07.559 [ForkJoinPool.commonPool-worker-12] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - 成功拷贝本地配置目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/prometheus-resource/zookeeper2 到节点k8s-worker-node1的：/opt/edp/monitor1/conf/discovery_configs/
2023-06-26 14:18:07.560 [ForkJoinPool.commonPool-worker-12] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - command task：74 结束, 记录到数据库
2023-06-26 14:18:07.563 [ForkJoinPool.commonPool-worker-12] INFO  o.d.c.processor.RegisterPrometheusScrapyTask - close sifting Appender of `6-74`
