2023-06-25 23:06:43.672 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - command task：69 开始, 记录到数据库
2023-06-25 23:06:43.677 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/conf
2023-06-25 23:06:43.680 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/conf
2023-06-25 23:06:43.711 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/conf
2023-06-25 23:06:43.712 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/log
2023-06-25 23:06:43.716 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/log
2023-06-25 23:06:43.780 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/log
2023-06-25 23:06:43.780 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/data
2023-06-25 23:06:43.783 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/data
2023-06-25 23:06:43.808 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-master-node1 上创建目录：/opt/edp/hdfs1/data
2023-06-25 23:06:43.808 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - command task：69 结束, 记录到数据库
2023-06-25 23:06:43.812 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - close sifting Appender of `4-69`
