2023-06-26 15:23:22.779 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - command task：351 开始, 记录到数据库
2023-06-26 15:23:22.791 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 加载配置文件模板目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/hdfs/render
2023-06-26 15:23:22.816 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - Scanning directory: /Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/hdfs/render
2023-06-26 15:23:22.817 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: httpfs-log4j.properties
2023-06-26 15:23:22.817 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node3/conf/httpfs-log4j.properties
2023-06-26 15:23:22.818 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: journalnode-bootstrap.sh.ftl
2023-06-26 15:23:22.819 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node3/conf/journalnode-bootstrap.sh
2023-06-26 15:23:22.820 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: datanode-bootstrap.sh.ftl
2023-06-26 15:23:22.821 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node3/conf/datanode-bootstrap.sh
2023-06-26 15:23:22.822 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: httpfs-site.xml.ftl
2023-06-26 15:23:22.824 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node3/conf/httpfs-site.xml
2023-06-26 15:23:22.825 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: namenode-format.sh.ftl
2023-06-26 15:23:22.828 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node3/conf/namenode-format.sh
2023-06-26 15:23:22.829 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: httpfs-bootstrap.sh.ftl
2023-06-26 15:23:22.830 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node3/conf/httpfs-bootstrap.sh
2023-06-26 15:23:22.830 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: jmx_prometheus.yaml
2023-06-26 15:23:22.831 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node3/conf/jmx_prometheus.yaml
2023-06-26 15:23:22.831 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: hdfs-site.xml.ftl
