2023-06-26 15:23:20.477 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - command task：347 开始, 记录到数据库
2023-06-26 15:23:20.483 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node3 上创建目录：/opt/edp/hdfs2/conf
2023-06-26 15:23:20.492 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs2/conf
2023-06-26 15:23:20.553 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node3 上创建目录：/opt/edp/hdfs2/conf
2023-06-26 15:23:20.553 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node3 上创建目录：/opt/edp/hdfs2/log
2023-06-26 15:23:20.562 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs2/log
2023-06-26 15:23:20.681 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node3 上创建目录：/opt/edp/hdfs2/log
2023-06-26 15:23:20.681 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node3 上创建目录：/opt/edp/hdfs2/data
2023-06-26 15:23:20.690 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs2/data
2023-06-26 15:23:20.808 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node3 上创建目录：/opt/edp/hdfs2/data
2023-06-26 15:23:20.808 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - command task：347 结束, 记录到数据库
2023-06-26 15:23:20.811 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - close sifting Appender of `18-347`
