2023-06-25 23:06:44.134 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - command task：72 开始, 记录到数据库
2023-06-25 23:06:44.138 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node2 上创建目录：/opt/edp/hdfs1/conf
2023-06-25 23:06:44.141 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/conf
2023-06-25 23:06:44.174 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node2 上创建目录：/opt/edp/hdfs1/conf
2023-06-25 23:06:44.174 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node2 上创建目录：/opt/edp/hdfs1/log
2023-06-25 23:06:44.178 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/log
2023-06-25 23:06:44.215 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node2 上创建目录：/opt/edp/hdfs1/log
2023-06-25 23:06:44.215 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node2 上创建目录：/opt/edp/hdfs1/data
2023-06-25 23:06:44.218 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/data
2023-06-25 23:06:44.287 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node2 上创建目录：/opt/edp/hdfs1/data
2023-06-25 23:06:44.287 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - command task：72 结束, 记录到数据库
2023-06-25 23:06:44.293 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - close sifting Appender of `4-72`
