2023-06-25 22:32:45.967 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - command task：7 开始, 记录到数据库
2023-06-25 22:32:45.979 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 加载配置文件模板目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/zookeeper/render
2023-06-25 22:32:46.002 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - Scanning directory: /Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/zookeeper/render
2023-06-25 22:32:46.003 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: zoo.cfg.ftl
2023-06-25 22:32:46.071 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/zookeeper1/k8s-worker-node1/conf/zoo.cfg
2023-06-25 22:32:46.072 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: jmx_zookeeper.yaml
2023-06-25 22:32:46.078 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/zookeeper1/k8s-worker-node1/conf/jmx_zookeeper.yaml
2023-06-25 22:32:46.079 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: myid.ftl
2023-06-25 22:32:46.113 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/zookeeper1/k8s-worker-node1/conf/myid
2023-06-25 22:32:46.114 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: zookeeper-env.sh.ftl
2023-06-25 22:32:46.117 [ForkJoinPool.commonPool-worker-9] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/zookeeper1/k8s-worker-node1/conf/zookeeper-env.sh
