2023-06-25 23:06:42.561 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - command task：65 开始, 记录到数据库
2023-06-25 23:06:42.685 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs1/conf
2023-06-25 23:06:42.711 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/conf
2023-06-25 23:06:42.749 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs1/conf
2023-06-25 23:06:42.749 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs1/log
2023-06-25 23:06:42.755 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/log
2023-06-25 23:06:42.828 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs1/log
2023-06-25 23:06:42.828 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs1/data
2023-06-25 23:06:42.835 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/data
2023-06-25 23:06:42.869 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs1/data
2023-06-25 23:06:42.869 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - command task：65 结束, 记录到数据库
2023-06-25 23:06:42.874 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - close sifting Appender of `4-65`
