2023-06-25 22:44:30.362 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.ConfigTask - command task：32 开始, 记录到数据库
2023-06-25 22:44:30.370 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.ConfigTask - 加载配置文件模板目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/monitor/render
2023-06-25 22:44:30.376 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.ConfigTask - Scanning directory: /Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/monitor/render
2023-06-25 22:44:30.377 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: prometheus.yml.ftl
2023-06-25 22:44:30.379 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/monitor1/k8s-worker-node3/conf/prometheus.yml
2023-06-25 22:44:30.380 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: grafana-bootstrap.sh.ftl
2023-06-25 22:44:30.381 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/monitor1/k8s-worker-node3/conf/grafana-bootstrap.sh
2023-06-25 22:44:30.381 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: nodeexporter-bootstrap.sh.ftl
2023-06-25 22:44:30.382 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/monitor1/k8s-worker-node3/conf/nodeexporter-bootstrap.sh
2023-06-25 22:44:30.382 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: grafana.ini.ftl
2023-06-25 22:44:30.394 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/monitor1/k8s-worker-node3/conf/grafana.ini
2023-06-25 22:44:30.395 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.ConfigTask - Scanning directory: /Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/stack/EDP-1.0.0/monitor/render/provisioning
