2023-06-26 15:23:19.844 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - command task：345 开始, 记录到数据库
2023-06-26 15:23:19.849 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs2/conf
2023-06-26 15:23:19.858 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs2/conf
2023-06-26 15:23:19.918 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs2/conf
2023-06-26 15:23:19.918 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs2/log
2023-06-26 15:23:19.928 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs2/log
2023-06-26 15:23:20.033 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs2/log
2023-06-26 15:23:20.034 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs2/data
2023-06-26 15:23:20.041 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs2/data
2023-06-26 15:23:20.154 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs2/data
2023-06-26 15:23:20.155 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - command task：345 结束, 记录到数据库
2023-06-26 15:23:20.159 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - close sifting Appender of `18-345`
