2023-06-25 23:06:43.218 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - command task：67 开始, 记录到数据库
2023-06-25 23:06:43.330 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node2 上创建目录：/opt/edp/hdfs1/conf
2023-06-25 23:06:43.348 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/conf
2023-06-25 23:06:43.383 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node2 上创建目录：/opt/edp/hdfs1/conf
2023-06-25 23:06:43.384 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node2 上创建目录：/opt/edp/hdfs1/log
2023-06-25 23:06:43.392 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/log
2023-06-25 23:06:43.454 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node2 上创建目录：/opt/edp/hdfs1/log
2023-06-25 23:06:43.455 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node2 上创建目录：/opt/edp/hdfs1/data
2023-06-25 23:06:43.461 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs1/data
2023-06-25 23:06:43.493 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node2 上创建目录：/opt/edp/hdfs1/data
2023-06-25 23:06:43.493 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - command task：67 结束, 记录到数据库
2023-06-25 23:06:43.497 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.InstallTask - close sifting Appender of `4-67`
