2023-06-26 15:23:24.702 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: namenode-bootstrap.sh.ftl
2023-06-26 15:23:24.703 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node1/conf/namenode-bootstrap.sh
2023-06-26 15:23:24.704 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: log4j.properties
2023-06-26 15:23:24.704 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node1/conf/log4j.properties
2023-06-26 15:23:24.705 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: dfs.exclude
2023-06-26 15:23:24.705 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node1/conf/dfs.exclude
2023-06-26 15:23:24.719 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 拷贝本地配置目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node1/conf 到节点k8s-worker-node1的：/opt/edp/hdfs2/conf/
2023-06-26 15:23:25.161 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 成功拷贝本地配置目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs2/k8s-worker-node1/conf 到节点k8s-worker-node1的：/opt/edp/hdfs2/conf/
2023-06-26 15:23:25.161 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - 赋予conf目录下sh脚本执行权限：chmod +x /opt/edp/hdfs2/conf//*.sh
2023-06-26 15:23:25.225 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - command task：354 结束, 记录到数据库
2023-06-26 15:23:25.229 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.ConfigTask - close sifting Appender of `18-354`
