2023-06-26 15:23:19.156 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - command task：343 开始, 记录到数据库
2023-06-26 15:23:19.161 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs2/conf
2023-06-26 15:23:19.177 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs2/conf
2023-06-26 15:23:19.234 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs2/conf
2023-06-26 15:23:19.234 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs2/log
2023-06-26 15:23:19.243 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs2/log
2023-06-26 15:23:19.350 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs2/log
2023-06-26 15:23:19.350 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs2/data
2023-06-26 15:23:19.358 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/hdfs2/data
2023-06-26 15:23:19.464 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/hdfs2/data
2023-06-26 15:23:19.465 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - command task：343 结束, 记录到数据库
2023-06-26 15:23:19.469 [ForkJoinPool.commonPool-worker-6] INFO  org.dromara.cloudeon.processor.InstallTask - close sifting Appender of `18-343`
