2023-06-25 22:44:23.034 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - command task：22 开始, 记录到数据库
2023-06-25 22:44:23.191 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/monitor1/conf
2023-06-25 22:44:23.213 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/monitor1/conf
2023-06-25 22:44:23.259 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/monitor1/conf
2023-06-25 22:44:23.260 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/monitor1/conf/rule
2023-06-25 22:44:23.268 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/monitor1/conf/rule
2023-06-25 22:44:23.344 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/monitor1/conf/rule
2023-06-25 22:44:23.344 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/monitor1/conf/discovery_configs
2023-06-25 22:44:23.353 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/monitor1/conf/discovery_configs
2023-06-25 22:44:23.392 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/monitor1/conf/discovery_configs
2023-06-25 22:44:23.392 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - 节点：k8s-worker-node1 上创建目录：/opt/edp/monitor1/log
2023-06-25 22:44:23.399 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - 执行远程命令：chmod 777 -R /opt/edp/monitor1/log
2023-06-25 22:44:23.478 [ForkJoinPool.commonPool-worker-4] INFO  org.dromara.cloudeon.processor.InstallTask - 成功在节点：k8s-worker-node1 上创建目录：/opt/edp/monitor1/log
